,,0.072,2,6,,,,,,,
ID Number,Position on Automobile,Life of Tire (Months),Tread Depth,Cupping?,Miles,,17.9,0.00877193,23201.22807,11.0,0.2
9878307,LF,18.5,8.1,No,19753,,,,,,
9878307,LR,18.5,8.1,No,19753,,,,,,
9878307,RF,18.5,8.1,No,19753,,,,,,
9878307,RR,18.5,8.1,No,19753,,,,,,
5039658,LF,27.5,6.6,No,26169,,,,,,
5039658,LR,27.5,6.7,No,26169,,,,,,
5039658,RF,27.5,6.7,No,26169,,,,,,
5039658,RR,27.5,6.7,No,26169,,,,,,
9995145,LF,41.9,4.4,No,36518,,,,,,
9995145,LR,41.9,4.4,No,36518,,,,,,
9995145,RF,41.9,4.5,No,36518,,,,,,
9995145,RR,41.9,4.4,Yes,36518,,,,,,
8238218,LF,13.3,9.0,No,4379,,,,,,
8238218,LR,13.3,8.8,No,4379,,,,,,
8238218,RF,13.3,8.8,No,4379,,,,,,
8238218,RR,13.3,8.9,No,4379,,,,,,
17298120,LF,20.3,7.8,No,20590,,,,,,
17298120,LR,20.3,7.8,Yes,20590,,,,,,
17298120,RF,20.3,7.8,No,20590,,,,,,
17298120,RR,20.3,7.8,No,20590,,,,,,
20308382,LF,4.5,10.2,No,5499,,,,,,
20308382,LR,4.5,10.3,No,5499,,,,,,
20308382,RF,4.5,10.2,No,5499,,,,,,
20308382,RR,4.5,10.2,No,5499,,,,,,
20828958,LF,12.5,9.0,No,30450,,,,,,
20828958,LR,12.5,9.0,No,30450,,,,,,
20828958,RF,12.5,9.0,No,30450,,,,,,
20828958,RR,12.5,9.0,No,30450,,,,,,
8509844,LF,16.1,8.6,No,34185,,,,,,
8509844,LR,16.1,8.5,No,34185,,,,,,
8509844,RF,16.1,8.4,No,34185,,,,,,
8509844,RR,16.1,8.4,No,34185,,,,,,
14038586,LF,70.1,0.2,No,156869,,,,,,
14038586,LR,70.1,0.2,No,156869,,,,,,
14038586,RF,70.1,0.2,No,156869,,,,,,
14038586,RR,70.1,0.2,No,156869,,,,,,
15966732,LF,28.4,6.6,No,49881,,,,,,
15966732,LR,28.4,6.6,No,49881,,,,,,
15966732,RF,28.4,6.6,No,49881,,,,,,
15966732,RR,28.4,6.5,No,49881,,,,,,
11304766,LF,2.8,10.5,No,3166,,,,,,
11304766,LR,20.3,7.9,No,3166,,,,,,
11304766,RF,2.8,10.6,No,3166,,,,,,
11304766,RR,2.8,10.6,No,3166,,,,,,
15560260,LF,10.5,9.3,No,17942,,,,,,
15560260,LR,10.5,9.3,No,17942,,,,,,
15560260,RF,10.5,9.3,Yes,17942,,,,,,
15560260,RR,10.5,9.4,No,17942,,,,,,
6870687,LF,6.3,9.9,No,10245,,,,,,
6870687,LR,6.3,10.1,No,10245,,,,,,
6870687,RF,6.3,10.0,No,10245,,,,,,
6870687,RR,6.3,10.1,No,10245,,,,,,
6195713,LF,10.9,9.3,No,7101,,,,,,
6195713,LR,10.9,9.3,No,7101,,,,,,
6195713,RF,10.9,9.3,No,7101,,,,,,
6195713,RR,10.9,9.3,No,7101,,,,,,
9309227,LF,12.5,9.1,No,26279,,,,,,
9309227,LR,12.5,9.0,No,26279,,,,,,
9309227,RF,12.5,9.0,No,26279,,,,,,
9309227,RR,12.5,9.0,No,26279,,,,,,
15971689,LF,6.1,10.1,No,1908,,,,,,
15971689,LR,6.1,10.0,No,1908,,,,,,
15971689,RF,6.1,10.0,No,1908,,,,,,
15971689,RR,6.1,10.0,No,1908,,,,,,
17268838,LF,3.5,10.4,No,8663,,,,,,
17268838,LR,3.5,10.4,No,8663,,,,,,
17268838,RF,3.5,10.4,No,8663,,,,,,
17268838,RR,3.5,10.5,No,8663,,,,,,
1075031,LF,21.0,7.7,No,51265,,,,,,
1075031,LR,21.0,7.6,No,51265,,,,,,
1075031,RF,21.0,7.7,No,51265,,,,,,
1075031,RR,21.0,7.7,Yes,51265,,,,,,
19428053,LF,12.3,9.1,No,7679,,,,,,
19428053,LR,12.3,9.0,No,7679,,,,,,
19428053,RF,12.3,9.1,No,7679,,,,,,
19428053,RR,12.3,9.1,No,7679,,,,,,
1816235,LF,16.8,8.4,No,9979,,,,,,
1816235,LR,16.8,8.3,No,9979,,,,,,
1816235,RF,16.8,8.3,No,9979,,,,,,
1816235,RR,16.8,8.3,No,9979,,,,,,
12139730,LF,13.9,8.8,No,7700,,,,,,
12139730,LR,30.6,8.4,No,7700,,,,,,
12139730,RF,13.9,9.7,No,7700,,,,,,
12139730,RR,13.9,9.8,No,7700,,,,,,
3039638,LF,10.6,10.1,No,21665,,,,,,
3039638,LR,10.6,10.1,No,21665,,,,,,
3039638,RF,10.6,10.1,No,21665,,,,,,
3039638,RR,10.6,10.0,No,21665,,,,,,
13859113,LF,23.7,8.9,No,36825,,,,,,
13859113,LR,23.7,8.9,No,36825,,,,,,
13859113,RF,23.7,8.8,No,36825,,,,,,
13859113,RR,23.7,8.9,No,36825,,,,,,
4416237,LF,13.1,9.8,No,12434,,,,,,
4416237,LR,13.1,9.9,No,12434,,,,,,
4416237,RF,13.1,9.8,No,12434,,,,,,
4416237,RR,13.1,9.8,No,12434,,,,,,
13715541,LF,29.9,8.4,No,73033,,,,,,
13715541,LR,29.9,8.3,No,73033,,,,,,
13715541,RF,29.9,8.3,No,73033,,,,,,
13715541,RR,29.9,8.3,Yes,73033,,,,,,
14288933,LF,29.6,8.5,No,41062,,,,,,
14288933,LR,29.6,8.3,No,41062,,,,,,
14288933,RF,29.6,8.4,No,41062,,,,,,
14288933,RR,29.6,8.4,No,41062,,,,,,
11374880,LF,34.8,7.9,No,21718,,,,,,
11374880,LR,34.8,8.0,No,21718,,,,,,
11374880,RF,34.8,8.0,No,21718,,,,,,
11374880,RR,34.8,7.9,No,21718,,,,,,
522615,LF,9.6,10.1,No,17843,,,,,,
522615,LR,9.6,10.1,No,17843,,,,,,
522615,RF,9.6,10.2,No,17843,,,,,,
522615,RR,9.6,10.1,No,17843,,,,,,
6718665,LF,6.2,10.5,No,139,,,,,,
6718665,LR,6.2,10.4,No,139,,,,,,
6718665,RF,6.2,10.5,No,139,,,,,,
6718665,RR,6.2,10.5,No,139,,,,,,
842664,LF,24.0,8.8,No,28290,,,,,,
842664,LR,24.0,8.9,No,28290,,,,,,
842664,RF,24.0,8.9,No,28290,,,,,,
842664,RR,24.0,8.9,No,28290,,,,,,
21689928,LF,27.2,8.6,No,4229,,,,,,
21689928,LR,27.2,8.6,No,4229,,,,,,
21689928,RF,27.2,8.7,No,4229,,,,,,
21689928,RR,27.2,8.6,No,4229,,,,,,
10747270,LF,15.2,9.7,No,23310,,,,,,
10747270,LR,15.2,9.7,No,23310,,,,,,
10747270,RF,15.2,9.6,No,23310,,,,,,
10747270,RR,15.2,9.6,No,23310,,,,,,
18773296,LF,62.5,5.5,Yes,71845,,,,,,
18773296,LR,62.5,5.4,Yes,71845,,,,,,
18773296,RF,62.5,5.5,No,71845,,,,,,
18773296,RR,62.5,5.5,No,71845,,,,,,
4610671,LF,8.1,10.3,No,10558,,,,,,
4610671,LR,8.1,10.2,No,10558,,,,,,
4610671,RF,8.1,10.2,No,10558,,,,,,
4610671,RR,8.1,10.2,No,10558,,,,,,
21416681,LF,6.6,10.5,No,8974,,,,,,
21416681,LR,38.4,7.6,No,8974,,,,,,
21416681,RF,6.6,10.4,No,8974,,,,,,
21416681,RR,6.6,10.4,No,8974,,,,,,
17904937,LF,37.6,7.6,No,26519,,,,,,
17904937,LR,37.6,7.7,No,26519,,,,,,
17904937,RF,37.6,7.7,Yes,26519,,,,,,
17904937,RR,37.6,7.7,No,26519,,,,,,
20530845,LF,25.1,8.8,Yes,10597,,,,,,
20530845,LR,25.1,8.8,No,10597,,,,,,
20530845,RF,25.1,8.8,No,10597,,,,,,
20530845,RR,25.1,8.8,No,10597,,,,,,
15733535,LF,13.1,9.8,No,49,,,,,,
15733535,LR,13.1,9.8,No,49,,,,,,
15733535,RF,13.1,9.8,No,49,,,,,,
15733535,RR,13.1,9.9,Yes,49,,,,,,
13151268,LF,12.1,9.9,No,29277,,,,,,
13151268,LR,12.1,9.9,No,29277,,,,,,
13151268,RF,12.1,10.0,No,29277,,,,,,
13151268,RR,12.1,10.0,No,29277,,,,,,
2248936,LF,26.7,8.7,No,47581,,,,,,
2248936,LR,26.7,8.6,No,47581,,,,,,
2248936,RF,26.7,8.6,Yes,47581,,,,,,
2248936,RR,26.7,8.6,No,47581,,,,,,
5037034,LF,2.2,10.9,No,4781,,,,,,
5037034,LR,2.2,10.8,No,4781,,,,,,
5037034,RF,2.2,10.9,No,4781,,,,,,
5037034,RR,2.2,10.8,No,4781,,,,,,
21946669,LF,1.8,10.8,No,4016,,,,,,
21946669,LR,1.8,10.8,No,4016,,,,,,
21946669,RF,1.8,10.8,No,4016,,,,,,
21946669,RR,1.8,10.8,No,4016,,,,,,
21794330,LF,33.8,8.1,No,28368,,,,,,
21794330,LR,33.8,8.1,No,28368,,,,,,
21794330,RF,33.8,8.0,No,28368,,,,,,
21794330,RR,33.8,8.1,No,28368,,,,,,
13826803,LF,14.2,9.7,No,10499,,,,,,
13826803,LR,14.2,9.7,No,10499,,,,,,
13826803,RF,14.2,9.7,No,10499,,,,,,
13826803,RR,14.2,9.7,No,10499,,,,,,
996058,LF,15.1,9.7,No,4098,,,,,,
996058,LR,17.7,9.4,No,4098,,,,,,
996058,RF,15.1,9.7,No,4098,,,,,,
996058,RR,15.1,9.7,No,4098,,,,,,
2893854,LF,9.9,10.1,No,14025,,,,,,
2893854,LR,9.9,10.0,No,14025,,,,,,
2893854,RF,9.9,10.1,No,14025,,,,,,
2893854,RR,9.9,10.2,No,14025,,,,,,
6296453,LF,34.9,7.9,No,41402,,,,,,
6296453,LR,34.9,7.9,No,41402,,,,,,
6296453,RF,34.9,7.9,No,41402,,,,,,
6296453,RR,34.9,7.9,No,41402,,,,,,
13948885,LF,3.5,10.7,No,836,,,,,,
13948885,LR,3.5,10.6,No,836,,,,,,
13948885,RF,3.5,10.7,No,836,,,,,,
13948885,RR,3.5,10.7,No,836,,,,,,
5025048,LF,29.4,8.4,No,28727,,,,,,
5025048,LR,29.4,8.4,No,28727,,,,,,
5025048,RF,29.4,8.4,No,28727,,,,,,
5025048,RR,29.4,8.4,No,28727,,,,,,
19336253,LF,17.3,9.5,No,11484,,,,,,
19336253,LR,17.3,9.4,No,11484,,,,,,
19336253,RF,17.3,9.5,No,11484,,,,,,
19336253,RR,17.3,9.5,No,11484,,,,,,
21584148,LF,6.6,10.4,No,11065,,,,,,
21584148,LR,6.6,10.4,No,11065,,,,,,
21584148,RF,6.6,10.5,No,11065,,,,,,
21584148,RR,6.6,10.4,No,11065,,,,,,
7811053,LF,8.4,10.3,No,17768,,,,,,
7811053,LR,8.4,10.3,No,17768,,,,,,
7811053,RF,8.4,10.3,No,17768,,,,,,
7811053,RR,8.4,10.2,No,17768,,,,,,
19224746,LF,9.0,10.2,No,4834,,,,,,
19224746,LR,9.0,10.2,No,4834,,,,,,
19224746,RF,9.0,10.2,No,4834,,,,,,
19224746,RR,9.0,10.3,No,4834,,,,,,
10012367,LF,2.0,10.8,No,1429,,,,,,
10012367,LR,2.0,10.8,No,1429,,,,,,
10012367,RF,2.0,10.8,No,1429,,,,,,
10012367,RR,2.0,10.8,No,1429,,,,,,
21301256,LF,70.1,4.8,No,99037,,,,,,
21301256,LR,70.1,4.9,No,99037,,,,,,
21301256,RF,70.1,4.8,No,99037,,,,,,
21301256,RR,70.1,4.7,No,99037,,,,,,
2255479,LF,4.9,10.5,No,1944,,,,,,
2255479,LR,4.9,10.6,No,1944,,,,,,
2255479,RF,4.9,10.5,No,1944,,,,,,
2255479,RR,4.9,10.6,No,1944,,,,,,
14258437,LF,12.1,9.9,No,15322,,,,,,
14258437,LR,12.1,9.9,No,15322,,,,,,
14258437,RF,12.1,9.9,No,15322,,,,,,
14258437,RR,12.1,9.9,No,15322,,,,,,
17024625,LF,20.8,9.2,No,2775,,,,,,
17024625,LR,20.8,9.2,No,2775,,,,,,
17024625,RF,20.8,9.2,No,2775,,,,,,
17024625,RR,20.8,9.1,No,2775,,,,,,
15500367,LF,24.8,8.8,No,50217,,,,,,
15500367,LR,17.8,9.4,No,50217,,,,,,
15500367,RF,24.8,8.9,No,50217,,,,,,
15500367,RR,24.8,8.8,No,50217,,,,,,
440215,LF,10.7,10.0,No,22311,,,,,,
440215,LR,10.7,10.1,No,22311,,,,,,
440215,RF,10.7,10.0,No,22311,,,,,,
440215,RR,10.7,10.0,No,22311,,,,,,
12663832,LF,28.3,8.6,No,68685,,,,,,
12663832,LR,28.3,8.5,No,68685,,,,,,
12663832,RF,28.3,8.5,No,68685,,,,,,
12663832,RR,28.3,8.5,No,68685,,,,,,
9739706,LF,9.2,10.2,No,481,,,,,,
9739706,LR,9.2,10.3,No,481,,,,,,
9739706,RF,9.2,10.2,No,481,,,,,,
9739706,RR,9.2,10.2,No,481,,,,,,
15284545,LF,10.3,10.1,No,283,,,,,,
15284545,LR,10.3,10.2,No,283,,,,,,
15284545,RF,10.3,10.1,No,283,,,,,,
15284545,RR,10.3,10.1,No,283,,,,,,
4683140,LF,7.4,10.3,No,15545,,,,,,
4683140,LR,7.4,10.4,No,15545,,,,,,
4683140,RF,7.4,10.4,No,15545,,,,,,
4683140,RR,7.4,10.4,No,15545,,,,,,
17041621,LF,12.9,9.8,No,13614,,,,,,
17041621,LR,12.9,9.8,No,13614,,,,,,
17041621,RF,12.9,9.8,No,13614,,,,,,
17041621,RR,12.9,9.9,No,13614,,,,,,
2745944,LF,5.9,10.5,No,5201,,,,,,
2745944,LR,5.9,10.5,No,5201,,,,,,
2745944,RF,5.9,10.5,No,5201,,,,,,
2745944,RR,5.9,10.5,No,5201,,,,,,
