ID Number,Position on Automobile,Life of Tire (Months),Tread Depth,Miles
13391487,LR,58.4,2.2,2805
21678308,LR,17.3,8.3,39371
18414311,RR,16.5,8.6,13367
19778103,RR,8.2,9.8,1931
16355454,RR,13.7,8.9,23992
8952817,LR,52.8,3.0,48961
6559652,RR,14.7,8.8,4585
16289814,LR,6.2,10.1,5221
8696859,LF,60.1,2.0,26129
8921457,LF,11.7,9.2,19237
7505467,LF,10.9,9.3,6211
18307885,RR,7.7,9.6,11708
3121851,LR,17.1,8.4,21378
12286382,LF,7.7,9.8,14423
10395904,RF,69.0,0.6,64742
7656272,RR,19.5,8.1,11903
8047180,LR,21.9,7.6,44929
12277878,LF,8.1,9.8,2390
20420626,RF,24.4,6.6,672
1383349,RF,25.9,7.1,6094
21514254,LR,17.8,8.3,5161
10363514,RR,31.9,6.2,57694
6427178,RR,13.3,9.0,6858
11980523,LF,21.3,7.8,28108
6465679,RR,18.4,8.3,43751
11320872,RR,12.9,9.1,27143
9091771,RF,1.8,10.8,2917
3354942,LF,17.1,8.5,
19783520,RR,45.0,4.2,356
10363514,RF,31.9,6.3,57694
4253488,RF,10.5,9.5,23273
15790941,RF,10.3,9.5,12114
12286382,RF,7.7,9.8,14423
6559652,RF,14.7,8.7,4585
9927903,RF,10.0,9.5,2524
15569093,LF,15.5,8.7,18014
6427178,LR,13.3,9.0,6858
10395904,LR,69.0,0.6,64742
852812,RF,2.7,10.6,872
12971984,RF,4.4,10.3,2152
202372,RR,20.9,7.8,29371
15790941,RR,10.3,9.5,12114
18150860,LR,37.1,5.4,44932
8776539,LF,12.4,9.2,28829
17753949,LR,5.0,10.3,2354
20617860,LF,29.1,5.7,13671
8278902,LF,45.7,4.1,11830
6122262,RR,3.4,10.4,7756
15790941,LR,10.3,9.5,12114
9107766,RF,17.6,8.4,476
1086054,LF,30.2,6.5,68882
852812,RR,2.7,10.5,872
12971984,RR,4.4,10.3,2152
6186423,LF,9.8,9.6,13628
10794415,RR,11.6,9.2,38384
20420626,RR,24.4,6.6,672
20420626,LF,24.4,6.6,672
7712178,LF,2.1,10.7,2186
15869876,LR,12.9,9.1,10099
20404877,RF,12.1,9.2,24433
11795405,LF,30.1,6.5,63019
13114760,LR,4.2,10.3,3263
8156962,LF,8.6,9.7,20658
17753949,RF,5.0,10.3,2354
11215137,RF,13.7,8.9,34119
21558296,LF,16.8,8.4,19321
5956645,RF,3.8,10.4,3770
11678032,RF,11.3,9.4,20508
14922617,LF,39.6,0.0,12346
15890813,LF,16.1,8.6,206
18150860,LF,37.1,5.4,44932
1383349,RR,25.9,7.1,6094
6174530,RF,6.1,10.1,14721
16252529,RF,14.2,8.8,13887
19778103,LR,8.2,9.8,1931
12252858,RR,38.4,5.3,87963
7505467,RF,10.9,9.4,6211
16355454,LF,13.7,9.0,23992
3574739,RR,73.3,0.2,57313
14922617,LR,39.6,5.1,12346
8156962,LR,8.6,9.6,20658
5956645,LR,3.8,10.5,3770
9857663,LR,21.6,7.1,5293
10497442,RR,37.4,5.3,71717
12286382,RR,7.7,9.8,14423
21678308,RF,17.3,8.4,39371
21419359,LR,39.9,5.0,20277
17221343,LF,19.7,8.0,19572
17422715,RF,29.2,6.6,70033
16289814,RF,6.2,10.0,5221
888432,RR,15.4,8.3,24092
95990,RR,8.6,9.7,5670
9075861,RF,10.0,9.5,19370
2122934,RF,11.1,9.4,21000
17753949,RR,5.0,10.3,2354
9306585,LR,45.4,4.2,107237
15697877,RR,12.2,9.2,15556
12237050,RR,27.4,6.9,52820
662056,LR,7.0,9.9,10112
11980523,RF,21.3,7.7,28108
6122262,LR,3.4,10.5,7756
12001970,LR,27.2,6.9,19224
292849,RF,7.1,10.0,3371
16252529,LR,14.2,8.9,13887
19492787,LR,7.7,9.8,17491
12252858,RF,38.4,5.2,87963
11678032,LF,11.3,9.3,20508
15569093,RF,15.5,8.7,18014
14951227,RR,30.8,6.4,514
12286382,LR,7.7,9.8,14423
16017218,RF,15.0,8.7,19363
14183292,RR,15.4,8.7,23244
1086054,LR,30.2,6.4,68882
9210303,RF,32.5,6.2,14728
14922617,RR,39.6,5.0,12346
7656272,LR,19.5,8.1,11903
9927903,LF,10.0,9.5,2524
9306585,RF,45.4,4.2,107237
4245668,RR,4.6,10.3,9800
6685167,LR,9.2,9.7,75387
11678032,LR,11.3,9.3,20508
16252529,RR,14.2,8.9,13887
13114760,LF,4.2,10.3,3263
8921457,LR,11.7,9.3,19237
14120290,LR,34.6,5.8,58138
13312507,RR,4.7,10.3,7299
20617860,LR,29.1,5.8,13671
13926856,RR,32.0,6.2,32386
14951227,LR,30.8,6.4,514
20382901,RF,14.9,8.7,17802
8952817,RF,52.8,3.1,48961
8921457,RR,11.7,9.2,19237
11980523,RR,21.3,7.7,28108
3354942,RF,21.4,7.7,33254
7656272,RF,19.5,8.2,11903
292849,LF,7.1,9.9,3371
21817569,RR,64.1,1.3,22618
13391487,RR,58.4,2.2,2805
19492787,RF,7.7,9.9,17491
18707330,RF,9.9,9.5,2378
16641352,LR,51.2,3.3,92406
12277878,RF,8.1,9.8,2390
18707330,LR,9.9,9.5,2378
20923237,RR,55.4,2.7,24681
20617860,RF,29.1,5.8,13671
20382901,LR,14.9,8.8,17802
6465679,LR,18.4,8.3,43751
14951227,LF,30.8,6.4,514
9121275,RR,25.6,7.2,44890
13312507,LF,4.7,10.3,7299
238850,RF,19.2,8.1,37112
6174530,LR,6.1,10.0,14721
8278902,LR,45.7,4.1,11830
12971984,LR,4.4,10.3,2152
19222031,RR,56.0,2.6,100406
4245668,LR,4.6,10.3,9800
18307885,LR,7.7,9.6,11708
16691383,LF,66.5,1.1,42632
20923237,LF,55.4,2.7,24681
202372,RF,20.9,7.8,29371
80441,LR,19.0,8.1,37419
80441,LF,19.0,8.1,37419
10497442,LF,37.4,5.3,71717
16521170,LF,21.5,7.7,15340
9075861,LR,10.0,9.5,19370
5967252,RR,9.7,9.5,8438
9937888,RR,30.4,6.4,57032
8696859,RF,60.1,2.0,26129
9075861,RR,10.0,9.4,19370
2122934,RR,11.1,9.3,21000
9091771,LR,19.2,8.1,2917
1383349,LF,25.9,7.0,6094
8047180,LF,21.9,7.7,44929
95990,LR,8.6,9.7,5670
17123211,RR,29.3,16.7,24517
17123211,LF,29.3,6.6,24517
9210303,LR,29.6,6.6,14728
662056,RR,7.0,10.0,10112
3354942,RR,21.4,7.8,33254
19783520,LR,45.0,4.2,356
13114760,RR,4.2,10.3,3263
18414311,LF,16.5,8.5,13367
852812,LF,2.7,10.6,872
9121275,LF,25.6,7.1,44890
9075861,LF,10.0,9.5,19370
7610111,RR,15.0,8.8,40058
12237050,LR,13.3,9.1,52820
3574739,RF,73.3,0.2,57313
7712178,RR,2.1,10.7,2186
202372,LR,4.9,10.3,29371
14951227,RF,30.8,6.5,514
8776539,RF,12.4,9.1,28829
6559652,LR,30.2,6.4,4585
4245668,RF,4.6,10.2,9800
6559652,LF,14.7,8.7,4585
15569093,RR,15.5,8.6,18014
6427178,LF,13.3,9.0,6858
8278902,RF,45.7,4.1,11830
18414311,LR,16.5,8.5,13367
1064251,LF,15.7,8.7,23043
10497442,LR,37.4,5.4,71717
10794415,RF,11.6,9.3,38384
12001970,RF,27.2,6.9,19224
16521170,RR,21.5,7.8,15340
20070110,LR,43.8,4.4,22186
10395904,RR,69.0,0.6,64742
6685167,RR,31.4,6.3,75387
15869876,LF,12.9,9.1,10099
8776539,RR,12.4,9.1,28829
7610111,RF,15.0,8.7,40058
16521170,LR,21.5,7.7,15340
21678308,LF,17.3,8.4,39371
9107766,LF,17.6,8.4,476
18150860,RR,37.1,5.5,44932
3121851,RR,17.1,8.4,21378
16355454,RF,13.7,8.9,23992
4650001,RR,28.4,6.7,3642
13610627,LF,46.0,4.1,2952
2253516,RF,26.2,7.1,55231
14120290,RR,34.6,5.8,58138
238850,LR,19.2,8.1,37112
20070110,LF,43.8,4.4,22186
5546697,RR,10.3,9.4,14128
16691383,LR,66.5,1.0,42632
16252529,LF,14.2,8.8,13887
16521170,RF,21.5,7.8,15340
17123211,RF,29.3,6.6,24517
7656272,LF,19.5,8.1,11903
9107766,LR,17.6,8.4,476
8278902,RR,45.7,4.1,11830
5956645,LF,3.8,10.4,3770
8047180,RF,21.9,7.7,44929
8952817,LF,52.8,3.2,48961
2253516,LR,26.2,7.1,55231
6685167,LF,31.4,6.3,75387
16641352,LF,51.2,3.4,92406
16355454,LR,13.7,8.9,23992
20404877,LF,12.1,9.2,24433
11795405,LR,30.1,6.5,63019
16017218,LR,15.0,8.8,19363
13249562,LF,7.3,9.9,8273
7505467,LR,10.9,9.3,6211
20617860,RR,29.1,5.8,13671
