GEO_ID,pop_tot,house_vacant,house_occupied,house_tot,hh_tot,hh_fm,hh_fm_2,hh_fm_3,hh_fm_4,hh_fm_5,hh_fm_6,hh_fm_7,hh_nfm,hh_nfm_1,hh_nfm_2,hh_nfm_3,hh_nfm_4,hh_nfm_5,hh_nfm_6,hh_nfm_7,house_own,house_own_0v,house_own_1v,house_own_2v,house_own_3v,house_own_4v,house_own_5v,house_rent,house_rent_0v,house_rent_1v,house_rent_2v,house_rent_3v,house_rent_4v,house_rent_5v,male,male_0,male_5,male_10,male_15,male_18,male_20,male_21,male_22,male_25,male_30,male_35,male_40,male_45,male_50,male_55,male_60,male_62,male_65,male_67,male_70,male_75,male_80,male_85,female,female_0,female_5,female_10,female_15,female_18,female_20,female_21,female_22,female_25,female_30,female_35,female_40,female_45,female_50,female_55,female_60,female_62,female_65,female_67,female_70,female_75,female_80,female_85,workers,wkr_cmt_0,wkr_cmt_5,wkr_cmt_10,wkr_cmt_15,wkr_cmt_20,wkr_cmt_25,wkr_cmt_30,wkr_cmt_35,wkr_cmt_40,wkr_cmt_45,wkr_cmt_60,wkr_cmt_90,hh_incm_0k,hh_incm_10k,hh_incm_15k,hh_incm_20k,hh_incm_25k,hh_incm_30k,hh_incm_35k,hh_incm_40k,hh_incm_45k,hh_incm_50k,hh_incm_60k,hh_incm_75k,hh_incm_100k,hh_incm_125k,hh_incm_150k,hh_incm_200k,wkr_cmt_car,wkr_cmt_da,wkr_cmt_cpl,wkr_cmt_transit,wkr_cmt_cab,wkr_cmt_motor,wkr_cmt_bicycle,wkr_cmt_walk,wkr_cmt_other,wkr_home
1500000US040019426001,740,188,167,355,167,144,70,20,17,25,8,4,23,19,4,0,0,0,0,0,167,22,105,28,10,2,0,0,0,0,0,0,0,0,363,34,48,10,3,17,16,13,16,9,2,13,25,35,52,8,6,0,0,9,6,29,8,4,377,30,20,19,17,18,3,8,9,35,18,21,23,23,21,12,3,5,0,29,32,15,16,0,107,0,0,8,2,0,0,34,0,0,17,29,17,64,20,6,16,5,0,8,8,5,13,15,4,3,0,0,0,100,78,22,7,0,0,0,0,0,5
1500000US040019426002,778,156,195,351,195,156,54,23,39,23,8,9,39,36,3,0,0,0,0,0,181,20,89,39,29,4,0,14,6,8,0,0,0,0,439,15,42,46,57,21,27,10,18,13,9,9,10,28,53,14,17,10,0,14,14,5,7,0,339,32,28,33,21,21,5,13,9,14,18,12,14,41,17,16,11,11,0,12,0,7,0,4,103,5,17,0,11,0,0,14,0,8,7,16,25,71,4,16,15,10,23,12,3,3,22,10,6,0,0,0,0,72,57,15,18,0,0,0,12,1,9
1500000US040019427001,911,231,249,480,249,178,73,27,38,15,18,7,71,47,24,0,0,0,0,0,207,24,72,64,25,19,3,42,7,24,9,0,2,0,435,18,35,28,36,18,17,11,21,10,19,8,35,34,13,31,9,17,9,19,30,15,2,0,476,14,18,42,37,8,20,7,21,40,32,29,23,21,46,34,11,0,6,16,12,17,3,19,197,2,11,4,7,13,0,18,0,3,34,71,34,53,39,31,12,13,8,10,7,18,10,29,2,10,4,3,0,193,179,14,0,0,0,0,4,0,5
1500000US040019427002,1864,369,441,810,441,321,70,79,76,50,18,28,120,104,11,5,0,0,0,0,325,35,134,108,40,8,0,116,9,56,49,2,0,0,927,76,70,117,31,27,11,19,49,90,45,44,35,81,52,39,2,38,12,8,36,22,16,7,937,42,114,129,40,11,13,11,31,20,60,58,63,74,43,40,12,26,17,29,33,38,23,10,440,29,154,50,12,38,0,44,7,14,22,39,31,79,43,33,21,56,23,20,20,22,36,33,19,21,6,9,0,350,303,47,0,0,0,6,79,5,14
1500000US040019427003,999,272,224,496,224,168,53,33,21,23,19,19,56,56,0,0,0,0,0,0,209,35,70,54,37,9,4,15,3,12,0,0,0,0,465,16,26,55,33,38,11,6,5,21,24,28,49,26,26,8,6,4,10,12,10,38,13,0,534,24,25,58,35,5,5,22,30,0,22,47,20,26,27,47,2,7,39,5,49,33,0,6,179,11,5,19,10,33,0,19,0,0,36,16,30,78,27,27,6,19,8,6,7,5,14,11,12,0,4,0,0,168,115,53,0,0,0,0,2,9,13
1500000US040019427004,1345,423,347,770,347,252,93,44,33,54,9,19,95,86,9,0,0,0,0,0,297,51,100,65,67,14,0,50,0,25,20,1,0,4,718,39,60,104,64,7,3,0,20,24,48,64,39,47,63,26,13,14,8,7,17,21,12,18,627,36,79,27,20,23,11,7,25,38,15,30,19,56,53,59,11,13,13,14,23,21,27,7,336,1,7,34,29,14,0,21,3,4,36,77,110,68,43,23,25,25,20,11,19,10,23,29,31,17,3,0,0,286,218,68,18,0,0,0,22,10,10
1500000US040019440001,1305,398,275,673,275,202,61,24,40,26,25,26,73,61,12,0,0,0,0,0,247,50,119,56,11,1,10,28,8,12,5,3,0,0,612,57,65,65,27,27,20,6,19,18,45,37,17,41,55,23,28,13,21,10,4,5,2,7,693,102,30,51,44,30,34,8,40,30,31,36,65,41,33,36,12,2,17,8,19,14,0,10,236,10,4,10,10,11,0,86,24,0,21,14,46,101,24,18,8,40,19,11,1,3,6,34,2,3,2,0,3,207,193,14,6,0,0,0,19,4,2
1500000US040019440002,2032,266,504,770,504,345,140,64,45,52,10,34,159,128,31,0,0,0,0,0,308,11,139,69,63,0,26,196,3,101,70,8,9,5,1064,94,74,22,25,50,70,33,47,95,92,106,78,33,9,92,30,0,0,86,0,17,4,7,968,88,55,51,44,13,37,35,34,35,125,81,48,78,42,112,8,8,0,74,0,0,0,0,857,51,137,260,122,38,0,72,36,0,50,12,79,64,11,42,41,8,34,27,32,11,41,37,38,46,59,13,0,773,753,20,0,0,0,0,84,0,0
1500000US040019440003,2631,129,565,694,565,391,100,99,9,80,48,55,174,164,10,0,0,0,0,0,395,19,160,164,37,15,0,170,7,58,59,38,8,0,1286,216,160,77,68,25,10,58,44,187,85,22,41,54,51,20,36,61,17,19,0,8,0,27,1345,144,153,70,69,26,0,12,135,126,33,40,76,142,95,88,22,37,23,0,31,15,0,8,609,25,89,175,90,0,0,47,0,0,122,29,32,91,22,16,86,16,42,38,39,39,39,53,23,42,19,0,0,594,577,17,0,0,0,0,15,0,7
1500000US040019441001,1373,261,273,534,273,212,37,58,30,31,22,34,61,55,6,0,0,0,0,0,229,33,85,73,29,9,0,44,2,18,12,7,0,5,649,40,57,46,42,43,10,7,52,29,100,24,18,45,59,30,4,15,0,6,6,6,6,4,724,106,72,109,42,55,18,2,22,18,60,19,21,41,27,52,0,8,4,3,15,23,0,7,316,12,14,35,23,60,0,18,0,0,39,43,72,59,28,23,24,14,7,15,23,14,15,13,29,5,0,4,0,279,155,124,3,0,0,0,26,8,11
1500000US040019441002,1554,163,315,478,315,249,40,53,76,31,25,24,66,56,10,0,0,0,0,0,286,61,107,74,30,9,5,29,5,20,4,0,0,0,673,109,84,84,53,40,0,10,19,42,27,45,13,29,7,37,31,2,14,3,7,7,10,0,881,99,130,104,64,35,13,8,39,29,53,76,40,31,44,32,20,10,3,6,24,6,12,3,239,13,63,6,1,17,0,29,6,8,26,21,49,87,11,21,38,22,29,19,16,6,19,30,11,6,0,0,0,226,188,38,0,0,0,0,9,4,3
1500000US040019441003,455,299,122,421,122,77,23,19,17,7,4,7,45,40,5,0,0,0,0,0,119,52,32,11,7,11,6,3,0,3,0,0,0,0,231,17,17,26,21,8,0,0,7,10,6,22,0,9,30,13,0,18,0,12,8,4,0,3,224,5,12,27,3,5,0,0,12,11,14,25,4,28,6,6,7,3,9,5,14,13,10,5,54,0,0,5,5,4,6,0,0,0,11,19,4,56,19,5,3,0,7,0,7,0,5,0,12,4,0,4,0,48,48,0,0,0,0,0,0,6,2
1500000US040019441004,1646,250,329,579,329,245,51,51,40,57,38,8,84,80,4,0,0,0,0,0,168,42,55,42,26,0,3,161,25,88,44,4,0,0,825,81,47,94,64,147,11,6,54,34,37,47,43,29,41,21,18,18,0,4,18,0,5,6,821,60,44,100,46,147,24,13,12,43,36,69,45,26,55,38,7,19,9,0,11,8,0,9,302,31,80,52,26,27,0,12,0,0,41,12,21,63,45,17,19,26,39,14,9,5,38,16,20,5,11,0,2,232,169,63,0,0,0,4,62,4,15
1500000US040019441005,780,225,164,389,164,117,13,27,13,28,30,6,47,42,5,0,0,0,0,0,148,21,46,32,35,6,8,16,7,6,0,3,0,0,376,28,45,54,11,15,8,12,16,24,33,14,38,10,15,8,17,5,7,0,9,3,4,0,404,31,48,51,27,19,11,5,26,26,31,14,16,28,8,14,11,4,4,11,5,0,3,11,100,0,17,26,9,11,0,3,3,0,21,7,3,59,9,12,8,7,15,10,0,5,21,2,8,3,0,0,5,100,60,40,0,0,0,0,0,0,17
1500000US040019442011,1135,53,218,271,218,143,27,9,40,20,0,47,75,54,21,0,0,0,0,0,16,0,16,0,0,0,0,202,49,127,14,12,0,0,507,66,66,119,61,12,0,3,0,21,3,0,44,22,22,10,0,0,0,39,10,0,9,0,628,98,120,16,64,0,14,0,0,96,31,16,8,71,31,20,14,0,0,0,13,8,0,8,131,0,21,33,69,0,0,0,0,0,0,8,0,48,68,0,20,17,37,3,13,12,0,0,0,0,0,0,0,117,117,0,0,0,0,0,0,14,0
1500000US040019442012,1019,95,303,398,303,195,70,19,47,50,9,0,108,108,0,0,0,0,0,0,28,0,28,0,0,0,0,275,0,208,67,0,0,0,395,27,12,162,20,0,0,14,27,0,34,8,0,0,19,16,0,47,0,0,9,0,0,0,624,67,74,82,21,75,21,0,0,40,52,34,0,44,10,46,19,18,21,0,0,0,0,0,290,32,65,125,51,0,0,0,0,0,0,0,17,0,42,21,0,7,53,17,19,51,58,17,18,0,0,0,0,227,227,0,0,0,0,0,34,29,0
1500000US040019442013,2059,274,557,831,557,364,155,53,42,44,46,24,193,183,10,0,0,0,0,0,313,53,136,70,28,26,0,244,14,113,109,8,0,0,1043,88,64,131,138,65,9,17,34,32,48,55,46,129,21,59,58,0,28,0,0,0,21,0,1016,47,81,179,47,41,14,13,10,12,47,48,52,186,22,115,0,53,8,0,0,0,2,39,559,51,137,160,83,13,0,26,0,0,17,41,31,142,22,9,17,10,32,19,56,40,30,53,34,41,4,25,23,398,365,33,0,0,0,0,151,10,21
1500000US040019442021,2411,376,619,995,619,407,143,89,66,26,44,39,212,197,7,0,0,8,0,0,600,195,161,132,53,35,24,19,3,7,9,0,0,0,1291,150,37,95,81,59,12,0,29,55,160,63,123,162,19,61,35,45,15,51,21,6,12,0,1120,83,55,91,82,94,0,58,45,100,39,20,138,31,39,35,45,0,46,45,0,13,0,61,423,0,161,69,56,0,10,78,0,0,0,0,49,189,43,74,22,53,42,67,16,0,39,26,24,24,0,0,0,423,406,17,0,0,0,0,0,0,0
1500000US040019442022,1723,167,399,566,399,288,80,96,44,30,9,29,111,95,16,0,0,0,0,0,312,81,103,55,34,21,18,87,0,56,31,0,0,0,1048,58,51,39,26,60,28,11,12,128,65,7,192,68,92,31,20,24,32,13,13,20,0,58,675,41,46,71,10,70,50,5,23,19,17,16,89,25,11,66,17,0,8,61,0,0,30,0,278,0,66,30,29,0,0,51,0,0,0,54,48,92,61,9,7,29,11,0,0,8,24,84,74,0,0,0,0,278,265,13,0,0,0,0,0,0,10
1500000US040019443001,1271,213,260,473,260,193,51,24,18,38,24,38,67,67,0,0,0,0,0,0,183,33,67,56,13,7,7,77,0,47,24,6,0,0,621,78,96,80,17,47,12,9,23,51,45,35,24,24,11,26,6,6,14,0,11,6,0,0,650,45,101,66,66,32,32,0,39,43,31,36,21,31,25,20,10,10,5,23,5,0,5,4,213,26,33,7,24,64,1,35,0,0,5,5,13,37,28,28,18,20,16,12,5,11,29,27,16,13,0,0,0,202,160,42,0,0,0,0,11,0,19
1500000US040019443002,1738,316,364,680,364,268,59,59,46,40,27,37,96,87,9,0,0,0,0,0,230,47,66,56,41,15,5,134,4,70,46,8,4,2,860,67,78,93,70,11,15,12,39,84,64,59,78,44,53,23,0,6,0,23,19,12,0,10,878,138,65,99,56,13,15,19,26,58,36,51,52,49,27,39,51,7,14,22,5,22,14,0,417,29,44,58,38,47,16,100,11,20,0,17,37,55,21,32,30,13,15,12,12,24,31,61,35,15,0,8,0,361,315,46,0,0,0,0,51,5,24
1500000US040019443003,1689,327,512,839,512,311,113,56,51,50,24,17,201,195,6,0,0,0,0,0,461,102,191,108,21,34,5,51,4,26,15,6,0,0,854,45,67,83,84,32,8,15,31,49,39,44,49,42,47,56,13,26,15,43,34,16,12,4,835,60,39,62,57,40,3,11,29,43,49,44,37,70,93,46,8,14,18,37,23,22,13,17,340,10,28,15,23,11,7,125,7,5,42,40,27,153,60,43,30,35,32,11,33,15,41,19,20,20,0,0,0,301,275,26,5,0,0,0,10,24,6
1500000US040019443004,1560,341,385,726,385,253,62,61,48,41,12,29,132,132,0,0,0,0,0,0,319,99,123,65,20,6,6,66,0,41,25,0,0,0,736,75,83,56,52,30,12,7,46,28,25,27,57,44,50,39,21,11,5,18,20,20,2,8,824,78,83,97,48,29,9,12,23,21,19,49,46,37,51,69,11,15,13,4,58,21,22,9,247,25,33,9,11,17,5,61,8,13,31,9,25,132,31,43,25,16,29,23,11,16,26,27,4,2,0,0,0,229,222,7,0,0,0,0,18,0,16
1500000US040019443005,1105,231,285,516,285,173,63,14,30,18,15,33,112,100,12,0,0,0,0,0,248,57,74,63,37,12,5,37,7,17,8,2,3,0,495,44,37,51,32,17,0,5,11,55,21,11,29,45,22,52,4,9,12,5,16,6,4,7,610,79,66,59,45,11,26,4,39,14,19,31,9,47,39,24,17,3,0,19,20,23,6,10,244,11,8,5,17,6,56,49,7,11,23,33,18,72,35,41,13,9,14,3,33,14,8,19,17,7,0,0,0,224,221,3,0,0,0,0,17,3,21
1500000US040019449011,657,179,171,350,171,119,47,32,14,10,8,8,52,49,3,0,0,0,0,0,79,3,37,14,10,12,3,92,0,51,33,8,0,0,291,26,38,35,12,3,0,8,0,27,17,24,2,11,12,29,18,6,0,10,3,7,3,0,366,28,26,45,15,7,0,7,0,3,46,25,13,5,49,25,4,9,4,17,4,16,8,10,184,27,51,33,10,0,0,29,0,0,10,17,7,25,15,4,3,9,21,11,13,15,12,9,11,10,9,0,4,128,118,10,20,0,0,0,36,0,6
