Country,Continent, GDP (millions of US$) 
Afghanistan,Asia," 18,181 "
Albania,Europe," 12,847 "
Algeria,Africa," 190,709 "
Angola,Africa," 100,948 "
Argentina,South America," 447,644 "
Australia,Oceania," 1,488,221 "
Austria,Europe," 419,243 "
Azerbaijan,Europe," 62,321 "
Bahrain,Asia," 26,108 "
Bangladesh,Asia," 113,032 "
Belarus,Europe," 55,483 "
Belgium,Europe," 513,396 "
Bolivia,Africa," 24,604 "
Bosnia and Herzegovina,Europe," 17,965 "
Botswana,Africa," 17,570 "
Brazil,South America," 2,492,908 "
Brunei,Asia," 15,533 "
Bulgaria,Europe," 53,514 "
Burma,Asia," 51,925 "
Cambodia,Asia," 12,861 "
Cameroon,Africa," 25,759 "
Canada,North America," 1,736,869 "
Chile,South America," 248,411 "
China,Asia," 7,298,147 "
Colombia,South America," 328,422 "
"Congo, Democratic Republic of the",Africa," 15,668 "
"Congo, Republic of the",Africa," 14,769 "
Costa Rica,North America," 40,947 "
Cte d'Ivoire,Africa," 24,096 "
Croatia,Europe," 63,842 "
Cyprus,Europe," 24,949 "
Czech Republic,Europe," 215,265 "
Denmark,Europe," 333,238 "
Dominican Republic,North America," 56,700 "
Ecuador,South America," 66,381 "
Egypt,Africa," 235,719 "
El Salvador,North America," 22,761 "
Equatorial Guinea,Africa," 19,805 "
Estonia,Europe," 22,225 "
Ethiopia,Africa," 31,256 "
Finland,Europe," 266,553 "
France,Europe," 2,776,324 "
Gabon,Africa," 16,176 "
Georgia,Europe," 14,347 "
Germany,Europe," 3,577,031 "
Ghana,Africa," 37,158 "
Greece,Europe," 303,065 "
Guatemala,North America," 46,897 "
Honduras,North America," 17,381 "
Hong Kong,Asia," 243,302 "
Hungary,Europe," 140,303 "
Iceland,Europe," 14,048 "
India,Asia," 1,676,143 "
Indonesia,Asia," 845,680 "
Iran,Asia," 482,445 "
Iraq,Asia," 115,388 "
Ireland,Europe," 217,669 "
Israel,Asia," 242,897 "
Italy,Europe," 2,198,730 "
Jamaica,North America," 14,807 "
Japan,Asia," 5,869,471 "
Jordan,Africa," 29,233 "
Kazakhstan,Asia," 178,312 "
Kenya,Africa," 34,796 "
Kuwait,Asia," 176,667 "
Latvia,Europe," 28,252 "
Lebanon,Asia," 39,039 "
Libya,Africa," 36,874 "
Lithuania,Europe," 42,718 "
Luxembourg,Europe," 58,412 "
Malaysia,Asia," 278,680 "
Mali,Africa," 10,600 "
Mauritius,Africa," 11,313 "
Mexico,North America," 1,154,784 "
Morocco,Africa," 99,241 "
Mozambique,Africa," 12,827 "
Namibia,Africa," 12,461 "
Nepal,Asia," 18,580 "
Netherlands,Europe," 840,433 "
New Zealand,Oceania," 161,851 "
Nigeria,Africa," 238,920 "
Norway,Europe," 483,650 "
Oman,Asia," 71,888 "
Pakistan,Asia," 210,566 "
Panama,North America," 30,569 "
Papua New Guinea,Oceania," 12,655 "
Paraguay,South America," 21,236 "
Peru,South America," 173,502 "
Philippines,Asia," 213,129 "
Poland,Europe," 513,821 "
Portugal,Europe," 238,880 "
Qatar,Asia," 173,847 "
Romania,Europe," 189,776 "
Russia,Asia," 1,850,401 "
Saudi Arabia,Asia," 577,595 "
Senegal,Africa," 14,461 "
Serbia,Europe," 45,064 "
Singapore,Asia," 259,849 "
Slovakia,Europe," 96,089 "
Slovenia,Europe," 49,588 "
South Africa,Africa," 408,074 "
South Korea,Asia," 1,116,247 "
Spain,Europe," 1,493,513 "
Sri Lanka,Asia," 59,095 "
Sudan + South Sudan,Africa," 64,750 "
Sweden,Europe," 538,237 "
Switzerland,Europe," 636,059 "
Taiwan,Asia," 466,832 "
Tanzania,Africa," 23,333 "
Thailand,Asia," 345,649 "
Trinidad and Tobago,North America," 22,707 "
Tunisia,Asia," 46,360 "
Turkey,Asia," 778,089 "
Turkmenistan,Asia," 25,742 "
Uganda,Africa," 16,810 "
Ukraine,Europe," 164,960 "
United Arab Emirates,Asia," 360,136 "
United Kingdom,Europe," 2,417,570 "
United States,North America," 15,094,025 "
Uruguay,South America," 46,872 "
Uzbekistan,Asia," 45,353 "
Venezuela,South America," 315,841 "
Vietnam,Asia," 122,722 "
Yemen,Africa," 33,675 "
Zambia,Africa," 19,206 "
